id,name,class,max_speed_kph,accel_0_100,handling,price,unlock_tier
1,AR SPO-01,Sports,280,5.89,70,190500,2
2,AR SPO-02,Sports,283,5.84,70,194800,3
3,AR SPO-03,Sports,287,5.76,71,199700,4
4,AR SPO-04,Sports,290,5.71,72,204000,5
5,AR SPO-05,Sports,294,5.64,73,208900,6
6,AR SPO-06,Sports,297,5.58,74,213200,7
7,AR SPO-07,Sports,301,5.51,75,218100,8
8,AR SPO-08,Sports,305,5.44,76,223000,9
9,AR SPO-09,Sports,308,5.38,77,227300,10
10,AR SPO-10,Sports,312,5.31,78,232200,11
11,AR SPO-11,Sports,315,5.25,78,236500,12
12,AR SPO-12,Sports,319,5.18,79,241400,13
13,AR SPO-13,Sports,322,5.13,80,245700,14
14,AR SPO-14,Sports,326,5.05,81,250600,15
15,AR SPO-15,Sports,330,4.98,82,255500,16
16,AR SUP-01,Supercar,320,5.16,80,214500,10
17,AR SUP-02,Supercar,324,5.09,81,219400,11
18,AR SUP-03,Supercar,329,5.0,82,224900,12
19,AR SUP-04,Supercar,333,4.93,83,229800,13
20,AR SUP-05,Supercar,338,4.84,84,235300,14
21,AR SUP-06,Supercar,342,4.76,85,240200,15
22,AR SUP-07,Supercar,347,4.67,86,245700,16
23,AR SUP-08,Supercar,351,4.6,87,250600,17
24,AR SUP-09,Supercar,356,4.51,89,256100,18
25,AR SUP-10,Supercar,360,4.44,90,261000,19
26,AR SUP-11,Supercar,365,4.35,91,266500,20
27,AR SUP-12,Supercar,370,4.25,92,272000,21
28,AR HYP-01,Hypercar,380,4.07,95,250500,20
29,AR HYP-02,Hypercar,388,3.93,95,257800,21
30,AR HYP-03,Hypercar,397,3.76,95,265700,22
31,AR HYP-04,Hypercar,405,3.62,95,273000,23
32,AR HYP-05,Hypercar,414,3.45,95,280900,24
33,AR HYP-06,Hypercar,422,3.31,95,288200,25
34,AR HYP-07,Hypercar,431,3.15,95,296100,26
35,AR HYP-08,Hypercar,440,2.98,95,304000,27
36,AR MUS-01,Muscle,250,6.44,62,172500,6
37,AR MUS-02,Muscle,258,6.29,64,179800,7
38,AR MUS-03,Muscle,267,6.13,66,187700,8
39,AR MUS-04,Muscle,275,5.98,68,195000,9
40,AR MUS-05,Muscle,284,5.82,71,202900,10
41,AR MUS-06,Muscle,292,5.67,73,210200,11
42,AR MUS-07,Muscle,301,5.51,75,218100,12
43,AR MUS-08,Muscle,310,5.35,77,226000,13
44,AR SUV-01,SUV,230,6.8,57,160500,5
45,AR SUV-02,SUV,240,6.62,60,169000,6
46,AR SUV-03,SUV,250,6.44,62,177500,7
47,AR SUV-04,SUV,260,6.25,65,186000,8
48,AR SUV-05,SUV,270,6.07,67,194500,9
49,AR SUV-06,SUV,280,5.89,70,203000,10
50,AR SUV-07,SUV,290,5.71,72,211500,11
